latitude,longitude,name,comments,rating,cp
19.3537529,-99.1899374,OXXO Helenico,4,4.3,01000
19.3483164,-99.1855199,Oxxo La Paz,13,3.5,01000
19.3516214,-99.1859118,OXXO,9,3.0,01000
19.3416291,-99.2030682,Oxxo,27,4.0,01000
19.3609272,-99.1852465,Oxxo,15,3.0,01000
19.3580665,-99.1844114,Oxxo Villa nueva,5,1.8,01000
19.3437141,-99.1897263,Oxxo Plaza del Carmen,,,01000
19.3393228,-99.1902434,Oxxo,26,3.1,01000
19.3486558,-99.2018531,OXXO ATLAMAYA,13,3.0,01000
19.3395333,-99.2050655,Oxxo Queretaro,21,4.4,01000
19.3383994,-99.1950067,Oxxo,12,3.1,01000
19.3411312,-99.2086388,Oxxo,54,3.7,01000
19.3599485,-99.1831651,Oxxo,15,3.7,01000
19.3569661,-99.1989753,Oxxo Zamora,12,3.3,01000
19.3400074,-99.1996131,OXXO,14,3.4,01000
19.3390457,-99.192184,Oxxo Altamirano Valle,4,2.0,01000
19.3359656,-99.1804397,Oxxo odontología,44,3.7,01000
19.3394322,-99.2038138,Oxxo Cerrada Durango,37,3.8,01000
19.3514102,-99.178246,OXXO,10,3.2,01000
19.3456998,-99.1746496,Oxxo,67,4.1,01000
19.3659838,-99.1978044,Oxxo Anaya,63,3.8,01000
19.341728,-99.1814947,Oxxo,32,3.1,01000
19.3581501,-99.1901391,OXXO Campestre revolución,9,3.9,01000
19.3364722,-99.1929639,Oxxo Revolucion CU,32,3.4,01000
19.3352243,-99.2137173,Oxxo Luis Hidalgo,24,2.5,01000
19.3371478,-99.1836077,Oxxo,13,3.8,01000
19.3731812,-99.1868945,Oxxo Goya,1,5.0,01000
19.3671843,-99.1813912,Oxxo San Jose,9,2.7,01000
19.3661807,-99.1784482,OXXO Mixcoac Valle,13,2.6,01000
19.3593067,-99.1707288,Oxxo Valle coyoacan,6,4.5,01000
19.3462317,-99.1756656,Oxxo Maq,171,4.0,01000
19.3820241,-99.1845507,Oxxo Berruguete,41,4.2,01000
19.3625408,-99.1963994,OXXO,11,2.8,01000
